id;first_name;last_name;phone;email;nationality
1;Gregorio;Grady;762.647.6183 x0675;Wallace.Johns30@hotmail.com;SPANISH
2;Fae;Watsica;(538) 993-5369;Adam_Kessler@gmail.com;RUSSIAN
3;Amira;Purdy;223.988.7406 x882;Isai.Russel@yahoo.com;SPANISH
4;Elyse;Tromp;901-853-2974 x45581;Bridget_Buckridge@gmail.com;FRENCH
5;Maximo;Predovic;611-335-7441 x18401;Ines.Beatty90@hotmail.com;ITALIAN
6;Damien;Kreiger;789.423.0834 x53275;Abigail.King92@gmail.com;RUSSIAN
7;Carolina;Flatley;771-559-8882;Ellen.Murphy@hotmail.com;ENGLISH
8;Dominic;Brekke;360-901-3312;Doris_DAmore@gmail.com;ENGLISH
9;Lavada;Hettinger;1-227-935-6491 x148;Evie_Schulist57@hotmail.com;RUSSIAN
10;Avery;Sawayn;(990) 661-6961 x1600;Michael_Pacocha@gmail.com;RUSSIAN
